BillNumber,MenbershipNumber,Data,Price,Payment,TakeOut
11111111,11111111,2020-03-21,9.9,1,true,
11111111,11111111,2020-03-22,9.9,1,true,
11111111,11111111,2020-03-23,9.9,1,true,
11111111,11111111,2020-03-23,9.9,1,true,
11111111,11111111,2020-03-24,9.9,1,true,
11111111,11111111,2020-03-25,9.9,1,true,
11111111,11111111,2020-03-26,9.9,1,true,
11111111,11111111,2020-03-27,9.9,1,true,
11111111,11111111,2020-03-28,9.9,1,true,
11111111,11111111,2020-03-28,9.9,1,true,
11111111,11111111,2020-05-20,9.9,1,true,
11111111,11111111,2020-05-21,9.9,1,true,
11111111,11111111,2020-05-25,9.9,1,true,
11111111,11111111,2020-05-27,9.9,1,true,
11111111,11111111,2020-05-28,9.9,1,true,
2020052813453087654321,87654321,2020-05-28,0.0,3,true,
2020052813475812345678,12345678,2020-05-28,45.8,0,false,
