Type,Name,Level,Price,Sales,Inventory
Soup,Tonkotsu,1,0,7,93
Soup,Shoyu,1,0,10,90
Soup,Shio,1,0,0,100
Noodles,Soft,1,0,11,89
Noodles,Medium,1,0,2,98
Noodles,Firm,1,0,4,96
Onion,No,1,0,11,-1
Onion,Onion,1,0,6,94
Onion,Onion,2,0,0,50
Nori,Nori,1,0,0,97
Nori,No,1,0,17,-1
Chashu,Chasu,1,0,0,100
Chashu,No,1,0,17,-1
Egg,Egg,1,0,0,90
Egg,No,1,0,17,-1
Spiciness,Spiciness,0,0,4,-1
Spiciness,Spiciness,1,0,0,-1
Spiciness,Spiciness,2,0,6,-1
Spiciness,Spiciness,3,0,6,-1
Spiciness,Spiciness,4,0,0,-1
Spiciness,Spiciness,5,0,0,-1
AddOne,Nori,1,1,3,97
AddOne,Egg,1,1,10,90
AddOne,Bamboo,1,1,10,90
AddOne,Chashu,1,2,8,92
